date yyyy-mm-dd,numdate,measles
1906-5-19,1906.3808,1252
1906-5-26,1906.4,1111
1906-6-2,1906.4192,931
1906-6-9,1906.4384,808
1906-6-16,1906.4575,669
1906-6-23,1906.4767,611
1906-6-30,1906.4959,440
1906-7-7,1906.5151,370
1906-7-14,1906.5342,293
1906-7-21,1906.5534,268
1906-7-28,1906.5726,213
1906-8-4,1906.5918,144
1906-8-11,1906.611,125
1906-8-18,1906.6301,67
1906-8-25,1906.6493,51
1906-9-1,1906.6685,41
1906-9-8,1906.6877,54
1906-9-15,1906.7068,53
1906-9-22,1906.726,55
1906-9-29,1906.7452,61
1906-10-6,1906.7644,30
1906-10-13,1906.7836,50
1906-10-20,1906.8027,61
1906-10-27,1906.8219,51
1906-11-3,1906.8411,64
1906-11-10,1906.8603,57
1906-11-17,1906.8795,72
1906-11-24,1906.8986,112
1906-12-1,1906.9178,152
1906-12-8,1906.937,155
1906-12-15,1906.9562,163
1906-12-22,1906.9753,154
1906-12-29,1906.9945,124
1907-1-5,1907.0137,157
1907-1-12,1907.0329,204
1907-1-19,1907.0521,186
1907-1-26,1907.0712,181
1907-2-2,1907.0904,138
1907-2-9,1907.1096,195
1907-2-16,1907.1288,248
1907-2-23,1907.1479,259
1907-3-2,1907.1671,326
1907-3-9,1907.1863,416
1907-3-16,1907.2055,429
1907-3-23,1907.2247,444
1907-3-30,1907.2438,419
1907-4-6,1907.263,415
1907-4-13,1907.2822,469
1907-4-20,1907.3014,411
1907-4-27,1907.3205,477
1907-5-4,1907.3397,534
1907-5-11,1907.3589,580
1907-5-18,1907.3781,630
1907-5-25,1907.3973,805
1907-6-1,1907.4164,623
1907-6-8,1907.4356,681
1907-6-15,1907.4548,777
1907-6-22,1907.474,661
1907-6-29,1907.4932,762
1907-7-6,1907.5123,616
1907-7-13,1907.5315,514
1907-7-20,1907.5507,414
1907-7-27,1907.5699,401
1907-8-3,1907.589,313
1907-8-10,1907.6082,221
1907-8-17,1907.6274,175
1907-8-24,1907.6466,170
1907-8-31,1907.6658,141
1907-9-7,1907.6849,139
1907-9-14,1907.7041,183
1907-9-21,1907.7233,114
1907-9-28,1907.7425,112
1907-10-5,1907.7616,113
1907-10-12,1907.7808,114
1907-10-19,1907.8,125
1907-10-26,1907.8192,142
1907-11-2,1907.8384,212
1907-11-9,1907.8575,203
1907-11-16,1907.8767,261
1907-11-23,1907.8959,293
1907-11-30,1907.9151,323
1907-12-7,1907.9342,472
1907-12-14,1907.9534,471
1907-12-21,1907.9726,517
1907-12-28,1907.9918,346
1908-1-4,1908.0109,581
1908-1-11,1908.0301,691
1908-1-18,1908.0492,803
1908-1-25,1908.0683,877
1908-2-1,1908.0874,1017
1908-2-8,1908.1066,1063
1908-2-15,1908.1257,1104
1908-2-22,1908.1448,1252
1908-2-29,1908.1639,1554
1908-3-7,1908.1831,1465
1908-3-14,1908.2022,1643
1908-3-21,1908.2213,1607
1908-3-28,1908.2404,1813
1908-4-4,1908.2596,1778
1908-4-11,1908.2787,1877
1908-4-18,1908.2978,1640
1908-4-25,1908.3169,1891
1908-5-2,1908.3361,1652
1908-5-9,1908.3552,1668
1908-5-16,1908.3743,1513
1908-5-23,1908.3934,1555
1908-5-30,1908.4126,1238
1908-6-6,1908.4317,1322
1908-6-13,1908.4508,1031
1908-6-20,1908.4699,841
1908-6-27,1908.4891,658
1908-7-4,1908.5082,472
1908-7-11,1908.5273,431
1908-7-18,1908.5464,312
